CC(=NNC(=S)N)CC(=O)Nc1ccc(c(c1)Cl)Cl
COc1ccc(c(c1)NC(=O)Cn2cc(c3c2cccc3)C(=O)c4cccs4)OC
COc1ccc(c(c1)NC(=O)Cn2cc(c3c2cccc3)C(=O)c4ccccc4F)OC
c1ccc(cc1)c2c3cc(sc3n(n2)c4ccccc4)C(=O)Nc5ccccc5
CCOc1ccc(cc1)S(=O)(=O)Nc2ccc3c(c2)c4c(o3)CCC(C4)C
Cc1c2cc(sc2n(n1)c3ccccc3)C(=O)Nc4ccccc4Br
COc1ccc(cc1)S(=O)(=O)Nc2ccc3c(c2)c4c(o3)CCCC4
Cc1ccccc1NC(=O)c2cc3c(nn(c3s2)c4ccccc4)c5ccccc5
COc1ccccc1NC(=O)c2cc3c(nn(c3s2)c4ccccc4)c5ccccc5
c1ccc(cc1)Cc2cn3cc([nH+]c3s2)c4ccc(cc4)Br
CC1CCN(CC1)c2c(nc3ccccc3n2)SCC(=O)Nc4ccc(cc4)OC
CC(=NNC(=S)N)CC(=O)Nc1cc(ccc1Cl)Cl
COc1ccc(cc1NC(=O)CSc2c(nc3ccccc3n2)N4CCCCC4)Cl
c1ccc2cc3c(cc2c1)[nH]c(n3)SCC(=O)Nc4ccc(cc4)F
c1ccc2cc3c(cc2c1)[nH]c(n3)SCC(=O)Nc4cccc(c4)C(F)(F)F
CCOC(=O)c1cccc(c1)NC(=O)CSc2[nH]c3cc4ccccc4cc3n2
Cc1ccc(cc1)S(=O)(=O)c2c(c(c(cc2[O-])C)NS(=O)(=O)c3ccc(cc3)Cl)C
Cc1ccc(cc1)S(=O)(=O)c2c(c(c(cc2[O-])C)NS(=O)(=O)c3ccc(cc3)Br)C
Cc1c(cccc1Cl)c2ccc(o2)C=C(C#N)c3[nH]c4ccccc4n3
CCOc1ccc(cc1)c2[nH]c(nn2)SCC(=O)c3ccccc3
COc1ccc(cc1)c2[nH]c(nn2)SCC(=O)c3ccc(cc3)Br
CC1(CC(c2ccccc2N1C(=O)c3ccccc3)(C)c4ccc(cc4)Cl)C
Cc1ccc(cc1)S(=O)(=O)Oc2ccccc2C=NNC(=S)N
Cc1ccc2c(c1)nc(o2)c3cc(ccc3Cl)NC(=O)c4cccc(c4OC)C
CCc1ccc(cc1)NC(=O)c2cc3nc(cc(n3n2)C(F)(F)F)c4ccc(cc4)C
Cc1ccc2c(c1)oc(n2)c3cc(ccc3Cl)NC(=O)c4ccc5c(c4)OCCO5
CCc1ccc2c(c1)nc(o2)c3cc(ccc3Cl)NC(=O)c4cc(ccc4N5CCOCC5)[N+](=O)[O-]
Cc1cccc(c1)CSc2c(ccc(n2)c3cccs3)C#N
CCN(CC)c1ccc(c(c1)C)n2nc3cc(c(cc3n2)NC(=O)c4ccccc4C)C
Cc1c(cc(c(c1S(=O)(=O)c2ccccc2)[O-])C(C)C)NC(=O)c3ccc(cc3)Cl
Cc1c(cc(c(c1S(=O)(=O)c2ccc(cc2)Cl)[O-])C(C)C)NC(=O)c3ccc(cc3)OC
Cc1cc(c(c(c1[O-])S(=O)(=O)c2ccc(cc2)OC)C)NS(=O)(=O)c3ccccc3
c1cc(ccc1C(=O)[O-])NC(=O)c2ccc(c(c2)S(=O)(=O)N3CCCCCC3)Cl
COc1ccc(cc1)N2C(=O)CC(C2=O)SC(=[NH+]N=Cc3ccnc4c3cccc4)N
c1ccc2c(c1)nc(o2)c3cccc(c3)NC(=O)c4cc(ccc4N5CCOCC5)[N+](=O)[O-]
Cc1cc(c(c(c1[O-])S(=O)(=O)c2ccc(cc2)OC)C(C)C)NS(=O)(=O)c3ccc(cc3)Cl
Cc1ccc2c(c1)[nH]c(n2)C(=Cc3cccc(c3)OC)C#N
c1cc(cc(c1)S(=O)(=O)Nc2ccc(cc2)Cl)S(=O)(=O)c3ccc(c(c3)Cl)Cl
COc1cc(ccc1OCc2ccc(cc2)F)C=C(C#N)c3[nH]c4ccccc4n3
Cc1ccc(cc1)c2csc(=Nc3ccccc3)n2Cc4ccc5c(c4)OCO5
Cc1ccc2cccc(c2n1)NC(=O)c3cccc4c3cccc4
CCc1ccc2c(c1)nc(o2)c3cccc(c3)NC(=O)c4ccc(c(c4)[N+](=O)[O-])N5CCC(CC5)C
C[NH+]1CCc2c(cc3c(c(sc3n2)C(=O)Nc4c(cccc4F)F)N)C1
Cc1ccc(cc1)NC(=O)CSc2nc(=O)cc(n2CCc3ccccc3)N
CCOC(=O)c1c(nc(s1)NN=Cc2cccc(c2)C)C
CC[NH+]1CCc2c(cc3c(c(sc3n2)C(=O)Nc4ccccc4OC(F)(F)F)N)C1
CCOc1ccc(c2c1cccc2)S(=O)(=O)N3CCN(CC3)c4c(cccc4C)C
CCOc1ccc(cc1)N2C(c3c(n[nH]c3C2=O)c4ccc(cc4)OC)c5cccs5
CCOc1ccc(cc1)N2C(c3c(n[nH]c3C2=O)c4cccs4)c5cccc(c5)F
COc1cccc(c1)C(=O)Nc2ccc(cc2)c3cc(nn3c4ccccc4)C(F)(F)F
COc1ccccc1C(=O)Nc2ccc(cc2)c3cc(nn3c4ccccc4)C(F)(F)F
CC(C(=O)Nc1cccc(c1)Cl)Sc2nc(=O)cc(n2CCc3ccccc3)N
